9986	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8663	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001001000000101010100000000000000
8722	100000000000000001101010000010000000000010000000000000000000101000010100000000000000000000000000000000000000000000000000
8673	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001001110100000000000000000000000
8730	100000000000000001101010000010000000000011000100101011100000000000000000000000000000000000000000000000000000000000000000
865857	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8692	110000001000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9796	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
38415	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8723	100000000000000001101010000010000000000010000000000000000000101111000000000000000000000000000000000000000000000000000000
8665	000000000000000000000000000000000000000000000000000000000000000000000001100011011000000000000000000000000000000000000000
8739	100000000000000001101010000010000000000011000100101010000101000000000000000000000000000000000000000000000000000000000000
8733	100000000000000001101010000010000000000011000100101011011000000000000000000000000000000000000000000000000000000000000000
7748	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8731	100000000000000001101010000010000000000011000100101011010000000000000000000000000000000000000000000000000000000000000000
196418	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8022	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
111177	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001001111000000000000000000000000
7962	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
234064	000000000000000000000000000000000000000000000000000000000000000000000001100010000000000000000000000000000010101000000000
8656	000000000000000000000000000000000000000000000000000000000000000000000001100011011101100000000000000000000000000000000000
46295	000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000101
8707	111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9031	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8714	100000000000000001101010000011101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
242841	100000000000000001101010000011000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000
111304	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8756	100000000000000001101010000010000000000011000100110000000000000000000000000000000000000000000000000000000000000000000000
8720	100000000000000001101010000010000000000011000110000000000000000000000000000000000000000000000000000000000000000000000000
338838	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
10090	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
66186	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001001000000101100000000000000000
62043	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8752	100000000000000001101010000010000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000
8649	000000000000000000000000000000000000000000000000000000000000000000000001100011011101010000000000000000000000000000000000
13616	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
35005	000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000111010000
44725	100000000000000001101010000010000000000011101000000000000000000000000000000000000000000000000000000000000000000000000000
8355	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
9913	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8717	100000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8559	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
61221	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
66188	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001100000000000000000000000000000
95648	100000000000000001101010000010000000000010000000000000000000101100100000000000000000000000000000000000000000000000000000
7955	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
62044	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
29156	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001001000000101011000000000000000
8668	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001001111000000000000000000000000
62045	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
100989	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001001000000101010100000000000000
9646	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8694	110000001000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
126484	000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000111100000
10112	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
52202	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
169847	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8781	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8671	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001001001100010000000000000000000000
8773	100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8613	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001100000000000000000000000000000000
9823	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8765	100000000000000001101011010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
31155	111010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
54390	000000000000000000000000000000000000000000000000000000000000000000000001100011100000000000000000000000000000000000000000
338839	000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000
8551	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
9606	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
120305	000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000110001000
8729	100000000000000001101010000010000000000011000100101010000110000000000000000000000000000000000000000000000000000000000000
8364	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
88087	100000000000000001101010000011000001010100000000000000000000000000000000000000000000000000000000000000000000000000000000
88086	100000000000000001101010000011000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000
62052	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
92438	000000000000000000000000000000000000000000000000000000000000000000000001100011010000001110000000000000000000000000000000
109781	100000000000000001101010000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
672774	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
44722	100000000000000001101010000010000000000010000000000000000000110000000000000000000000000000000000000000000000000000000000
338837	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
110206	111010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9103	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
33626	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
