Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
N24,8.60809,0.93384,0.0,0.930829,0.0,6.93154,1.0,1.27617,0.129306,1.0
N14,0.523198,0.0,0.717744,0.844052,0.0,7.52761,0.282256,1.21313,0.135357,1.0
N44,0.262978,0.945036,0.833451,0.944932,0.0,850.305,0.166549,1.12176,0.14477,1.0
OPHIHANN13,2.11498,0.947156,0.0,0.94036,0.0,1.95522,1.0,1.00912,0.157557,1.0
THRAJACK,0.648401,0.0,0.724687,0.84835,0.0,3.32431,0.275313,0.973329,0.161926,1.0
OPHIHANN15,0.642518,0.390083,0.923662,0.856649,0.0,15.9243,0.076338,0.901446,0.171197,1.0
DISPTYPU1,2.54155,0.918582,0.0,0.91892,0.0,2.53453,1.0,0.753268,0.192722,1.0
N46,10.0,0.96065,0.0,0.923369,0.0,9999.99,1.0,0.695793,0.2021,1.0
N51,0.712025,1.0,0.769068,1.0,0.125939,119.113,0.104993,0.622743,0.215015,1.0
OPHIHANN14,10.0,8.18034e-07,0.266755,0.00050009,0.0129564,10000.0,0.720289,0.598161,0.21964,1.0
TELEDHAR13,10.0,0.603858,0.0,0.856223,0.0,10000.0,1.0,0.586451,0.221897,1.0
TELEDHAR12,10.0,0.0971377,0.0,0.89014,0.0,10000.0,1.0,0.567823,0.225563,1.0
N11,0.914327,0.738123,0.935063,0.734739,0.00236256,7.84032,0.0625744,0.411723,0.260548,1.0
ENHYPOLY,1.06564,0.0,0.184306,5.0e-09,2.24293e-05,1.33666,0.815672,0.333052,0.281934,1.0
OPHIHANN12,1.33682,0.917369,0.0,0.919432,0.0,1.3883,1.0,0.214969,0.32145,1.0
TRIMBISC1,2.32462,0.670156,0.0,0.871972,0.0,1.58303,1.0,0.19385,0.329866,1.0
PSAMMOSS,0.668513,0.505357,0.863985,0.505454,0.0,3.26791,0.136015,0.122016,0.363429,1.0
N49,10.0,8.18034e-07,0.23452,9.67127e-07,0.104365,10000.0,0.661115,0.0949885,0.378964,1.0
CALLJACC,0.167523,0.0,0.820829,0.974632,0.0,1.15593,0.179171,0.00657814,0.467679,1.0
N18,0.979148,1.0,0.764316,5.66737e-05,0.130158,2.39835,0.105526,0.00602808,0.469057,1.0
