S_catenatus_109254995,Sistrurus catenatus,8756,SISTCATE0
S_catenatus_109254983,Sistrurus catenatus,8756,SISTCATE0
S_catenatus_109254969,Sistrurus catenatus,8756,SISTCATE0
S_catenatus_109254959,Sistrurus catenatus,8756,SISTCATE0
Spirinchus_lanceolatus_76559861,Spirinchus lanceolatus,136040,SPIRLANC0
Sus_scrofa_298228990,Sus scrofa,9823,SUSSCRO0
Taeniopygia_guttata_224093516,Taeniopygia guttata,59729,TAENGUTT0
T_dhara_156485219,Telescopus dhara,338837,TELEDHAR0
T_dhara_156485249,Telescopus dhara,338837,TELEDHAR0
T_dhara_156485235,Telescopus dhara,338837,TELEDHAR0
T_dhara_156485237,Telescopus dhara,338837,TELEDHAR0
T_dhara_73346842,Telescopus dhara,338837,TELEDHAR0
T_elegans_contig80712,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig75265,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig80975,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig57679,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig75493,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig16650,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig74768,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig77142,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig75937,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig78952,Thamnophis elegans,35005,THAMELEG0
T_elegans_contig69375,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig09116,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig56006,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_FT7MHCY04JXDKL,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig75753,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig18440,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig66504,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig23410,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig26789,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig09079,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_FS3E17002JWJ3Z,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig03053,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig10774,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_contig03054,Thamnophis elegans,35005,THAMELEG0
Thamnophis_elegans_FT7MHCY03HENJL,Thamnophis elegans,35005,THAMELEG0
T_jacksoni_156485811,Thrasops jacksoni,186611,THRAJACK0
T_jacksoni_156485241,Thrasops jacksoni,186611,THRAJACK0
T_jacksoni_156485245,Thrasops jacksoni,186611,THRAJACK0
T_jacksoni_156485247,Thrasops jacksoni,186611,THRAJACK0
Thrasops_jacksoni_156485269,Thrasops jacksoni,186611,THRAJACK0
C_albolabris_15149983,Cryptelytrops albolabris,8765,CRYPALBO0
P_flavoviridis_2114117,Trimeresurus flavoviridis,88087,TRIMFLAV0
P_flavoviridis_171854640,Trimeresurus flavoviridis,88087,TRIMFLAV0
P_flavoviridis_14325766,Trimeresurus flavoviridis,88087,TRIMFLAV0
T_flavoviridis_21305552,Trimeresurus flavoviridis,88087,TRIMFLAV0
T_gracilis_190195326,Trimeresurus gracilis,109781,TRIMGRAC0
T_gracilis_190195324,Trimeresurus gracilis,109781,TRIMGRAC0
T_gramineus_2114121,Trimeresurus gramineus,8767,TRIMGRAM0
Trimeresurus_stejnegeri_4325093,Viridovipera stejnegeri,39682,VIRISTEJ0
T_biscutatus_156485227,Trimorphodon biscutatus,338818,TRIMBISC0
T_biscutatus_156485231,Trimorphodon biscutatus,338818,TRIMBISC0
T_biscutatus_156485233,Trimorphodon biscutatus,338818,TRIMBISC0
T_biscutatus_73346950,Trimorphodon biscutatus,338818,TRIMBISC0
T_carinatus_118151769,Tropidechis carinatus,100989,TROPCARI0
T_carinatus_76886036,Tropidechis carinatus,100989,TROPCARI0
T_carinatus_76886038,Tropidechis carinatus,100989,TROPCARI0
T_carinatus_76886040,Tropidechis carinatus,100989,TROPCARI0
T_carinatus_76886042,Tropidechis carinatus,100989,TROPCARI0
T_carinatus_76886044,Tropidechis carinatus,100989,TROPCARI0
Tropidechis_carinatus_239618544,Tropidechis carinatus,100989,TROPCARI0
V_acanthurus_73345968,Varanus acanthurus,62035,VARAACAN0
V_acanthurus_73345909,Varanus acanthurus,62035,VARAACAN0
V_acanthurus_73346056,Varanus acanthurus,62035,VARAACAN0
V_acanthurus_73347633,Varanus acanthurus,62035,VARAACAN0
Varanus_acanthurus_73349325,Varanus acanthurus,62035,VARAACAN0
V_gilleni_300872836,Varanus gilleni,169840,VARAGILL0
V_gilleni_300872862,Varanus gilleni,169840,VARAGILL0
V_glauerti_300872864,Varanus glauerti,169841,VARAGLAU0
V_glauerti_300872876,Varanus glauerti,169841,VARAGLAU0
V_gouldii_300872832,Varanus gouldii,62042,VARAGOUL0
V_gouldii_300872868,Varanus gouldii,62042,VARAGOUL0
V_gouldii_300872872,Varanus gouldii,62042,VARAGOUL0
V_gouldii_300872880,Varanus gouldii,62042,VARAGOUL0
V_gouldii_300872886,Varanus gouldii,62042,VARAGOUL0
V_gouldii_300872858,Varanus gouldii,62042,VARAGOUL0
V_indicus_300872866,Varanus indicus,62043,VARAINDI0
V_indicus_300872860,Varanus indicus,62043,VARAINDI0
Varanus_indicus_300872914,Varanus indicus,62043,VARAINDI0
V_komodoensis_166798235,Varanus komodoensis,61221,VARAKOMO0
V_komodoensis_166798239,Varanus komodoensis,61221,VARAKOMO0
V_komodoensis_166798237,Varanus komodoensis,61221,VARAKOMO0
V_mertensi_300872828,Varanus mertensi,62044,VARAMERT0
V_mertensi_300872870,Varanus mertensi,62044,VARAMERT0
V_mitchelli_73347670,Varanus mitchelli,62045,VARAMITC0
V_panoptes_300872830,Varanus panoptes,169847,VARAPANO0
V_panoptes_300872882,Varanus panoptes,169847,VARAPANO0
V_scalaris_300872844,Varanus scalaris,169852,VARASCAL0
V_scalaris_300872874,Varanus scalaris,169852,VARASCAL0
V_scalaris_300872884,Varanus scalaris,169852,VARASCAL0
V_tristis_300872838,Varanus tristis,62052,VARATRIS0
V_tristis_300872878,Varanus tristis,62052,VARATRIS0
V_varius_73347112,Varanus varius,8559,VARAVARI0
V_varius_73347165,Varanus varius,8559,VARAVARI0
V_berus_215262115,Vipera berus,31155,VIPEBERU0
V_nikolskii_215262113,Vipera nikolskii,110206,VIPENIKO0
V_stejnegeri_190195332,Viridovipera stejnegeri,39682,VIRISTEJ0
V_stejnegeri_190195334,Viridovipera stejnegeri,39682,VIRISTEJ0
V_stejnegeri_190195330,Viridovipera stejnegeri,39682,VIRISTEJ0
V_stejnegeri_33307100,Viridovipera stejnegeri,39682,VIRISTEJ0
V_stejnegeri_33355626,Viridovipera stejnegeri,39682,VIRISTEJ0
V_stejnegeri_34014952,Viridovipera stejnegeri,39682,VIRISTEJ0
Xenopus_laevis_148237086,Xenopus laevis,8355,XENOLAEV0
Xenopus_laevis_455533,Xenopus laevis,8355,XENOLAEV0
Xenopus_laevis_64914,Xenopus laevis,8355,XENOLAEV0
Xenopus_laevis_1654113,Xenopus laevis,8355,XENOLAEV0
X_tropicalis_301608116,Xenopus tropicalis,8364,XENOTROP0
X_tropicalis_301618495,Xenopus tropicalis,8364,XENOTROP0
Xenopus_tropicalis_187607883,Xenopus tropicalis,8364,XENOTROP0
Xenopus_tropicalis_148234653,Xenopus tropicalis,8364,XENOTROP0
Xenopus_tropicalis_301610172,Xenopus tropicalis,8364,XENOTROP0
Xenopus_tropicalis_301610174,Xenopus tropicalis,8364,XENOTROP0
Xiphophorus_maculatus_65275,Xiphophorus maculatus,8083,XIPHMACU0
Xiphpophorus_maculatus_642673,Xiphophorus maculatus,8083,XIPHMACU0
E_pyr_leakeyi,Echis pyramidum,38415,ECHIPYRA0
H_susp_cinc,Heloderma suspectum,537493,HELOSUSP0
