A_microlep_6007786,Atractaspis microlepidota,42165,ATRAMICR0
A_superbus_158262801,Austrelaps superbus,29156,AUSTSUPE0
A_superbus_111572526,Austrelaps superbus,29156,AUSTSUPE0
Austr_superbus_184128090,Austrelaps superbus,29156,AUSTSUPE0
Austrelaps_superbus_239618532,Austrelaps superbus,29156,AUSTSUPE0
A_feae_190195302,Azemiops feae,8773,AZEMFEAE0
A_feae_73349374,Azemiops feae,8773,AZEMFEAE0
Bitis_arietans_113203684,Bitis arietans,8692,BITIARIE0
Bitis_arietans_113203680,Bitis arietans,8692,BITIARIE0
B_arietans_62547936,Bitis arietans,8692,BITIARIE0
B_gabonica_38570059,Bitis gabonica,8694,BITIGABO0
B_gabonica_38374139,Bitis gabonica,8694,BITIGABO0
Bitis_gabonica_38570037,Bitis gabonica,8694,BITIGABO0
Bitis_gabonica_37993390,Bitis gabonica,8694,BITIGABO0
Bos_taurus_114052858,Bos taurus,9913,BOSTAUR0
Bos_taurus_28189832,Bos taurus,9913,BOSTAUR0
Bos_taurus_2326390,Bos taurus,9913,BOSTAUR0
B_schlegelii_190195304,Bothriechis schlegelii,44725,BOTHSCHL0
B_asper_82466486,Bothrops asper,8722,BOTHASPE0
B_insularis_52426578,Bothrops insularis,8723,BOTHINSU0
B_insularis_20069132,Bothrops insularis,8723,BOTHINSU0
B_jararaca_6691472,Bothrops jararaca,8724,BOTHJARA0
B_jararaca_13194759,Bothrops jararaca,8724,BOTHJARA0
B_jararaca_31742524,Bothrops jararaca,8724,BOTHJARA0
B_jararacussu_32396013,Bothrops jararacussu,8726,BOTHJARA1
B_jararacussu_39841343,Bothrops jararacussu,8726,BOTHJARA1
B_jararacussu_15407253,Bothrops jararacussu,8726,BOTHJARA1
B_moojeni_39841345,Bothrops moojeni,98334,BOTHMOOJ0
B_neuwiedi_pauloensis,Bothrops neuwiedi,95648,BOTHNEUW0
B_neuwiedi_195927837,Bothrops neuwiedi,95648,BOTHNEUW0
B_candidus_34368936,Bungarus candidus,92438,BUNGCAND0
B_candidus_190195340,Bungarus candidus,92438,BUNGCAND0
B_candidus_190195342,Bungarus candidus,92438,BUNGCAND0
B_fasciatus_126035652,Bungarus fasciatus,8613,BUNGFASC0
B_multicinctus_5763973,Bungarus multicinctus,8616,BUNGMULT0
B_multicinctus_4200124,Bungarus multicinctus,8616,BUNGMULT0
B_multicinctus_126035671,Bungarus multicinctus,8616,BUNGMULT0
B_multicinctus_126035648,Bungarus multicinctus,8616,BUNGMULT0
B_multicinctus_266298,Bungarus multicinctus,8616,BUNGMULT0
C_jacchus_296210740,Callithrix jacchus,9483,CALLJACC0
Callithrix_jacchus_296227127,Callithrix jacchus,9483,CALLJACC0
C_rhodostoma_190195316,Calloselasma rhodostoma,8717,CALLRHOD0
C_rhodostoma_6850959,Calloselasma rhodostoma,8717,CALLRHOD0
C_warreni_300872848,Celestus warreni,865857,CELEWARR0
C_warreni_300872896,Celestus warreni,865857,CELEWARR0
C_warreni_300872898,Celestus warreni,865857,CELEWARR0
c_cerastes_32329781,Cerastes cerastes,8697,CERACERA0
Cerastes_cerastes_113203672,Cerastes cerastes,8697,CERACERA0
Cerastes_cerastes_113203668,Cerastes cerastes,8697,CERACERA0
C_rynchops_299791435,Cerberus rynchops,46267,CERBRYNC0
C_rynchops_299791431,Cerberus rynchops,46267,CERBRYNC0
C_rynchops_299791437,Cerberus rynchops,46267,CERBRYNC0
C_rynchops_299791433,Cerberus rynchops,46267,CERBRYNC0
C_godmani_190195328,Cerrophidion godmani,44722,CERRGODM0
C_adamanteus_338855273,Crotalus adamanteus,8729,CROTADAM0
C_adamanteus_338855293,Crotalus adamanteus,8729,CROTADAM0
C_adamanteus_18072834,Crotalus adamanteus,8729,CROTADAM0
C_adamanteus_338855295,Crotalus adamanteus,8729,CROTADAM0
C_adamanteus_3426323,Crotalus adamanteus,8729,CROTADAM0
C_atrox_28972958,Crotalus atrox,8730,CROTATRO0
C_atrox_18652952,Crotalus atrox,8730,CROTATRO0
C_atrox_5565691,Crotalus atrox,8730,CROTATRO0
C_atrox_144905067,Crotalus atrox,8730,CROTATRO0
C_durissus_11120559,Crotalus durissus,8731,CROTDURI0
C_durissus_76365439,Crotalus durissus,8731,CROTDURI0
C_durissus_78364923,Crotalus durissus,8731,CROTDURI0
C_horridus_190195312,Crotalus horridus,35024,CROTHORR0
C_horridus_190195308,Crotalus horridus,35024,CROTHORR0
C_horridus_190195314,Crotalus horridus,35024,CROTHORR0
C_horridus_190195310,Crotalus horridus,35024,CROTHORR0
C_horridus_190195306,Crotalus horridus,35024,CROTHORR0
C_molossus_20530312,Crotalus molossus,8733,CROTMOLO0
C_oreganus_358801542,Crotalus oreganus,332624,CROTOREG0
C_oreganus_358801573,Crotalus oreganus,332624,CROTOREG0
C_viridis_190195318,Crotalus viridis,8739,CROTVIRI0
Cyprinus_carpio_387926,Cyprinus carpio,7962,CYPRCARP0
D_russelii_190195322,Daboia russellii,8707,DABORUSS0
D_russelii_190195320,Daboia russellii,8707,DABORUSS0
D_russelii_194400544,Daboia russellii,8707,DABORUSS0
D_russelii_71727516,Daboia russellii,8707,DABORUSS0
D_russelii_71727518,Daboia russellii,8707,DABORUSS0
D_russellii_70797644,Daboia russellii,8707,DABORUSS0
D_rerio_34785401,Danio rerio,7955,DANIRERI0
D_rerio_326673451,Danio rerio,7955,DANIRERI0
D_rerio_226533708,Danio rerio,7955,DANIRERI0
D_rerio_68366001,Danio rerio,7955,DANIRERI0
D_rerio_41054438,Danio rerio,7955,DANIRERI0
D_rerio_326677166,Danio rerio,7955,DANIRERI0
D_rerio_326678492,Danio rerio,7955,DANIRERI0
Danio_rerio_123703072,Danio rerio,7955,DANIRERI0
Danio_rerio_292609495,Danio rerio,7955,DANIRERI0
Danio_rerio_3044090,Danio rerio,7955,DANIRERI0
Danio_rerio_4096855,Danio rerio,7955,DANIRERI0
D_acutus_190195338,Deinagkistrodon acutus,36307,DEINACUT0
D_acutus_190195336,Deinagkistrodon acutus,36307,DEINACUT0
D_acutus_57791680,Deinagkistrodon acutus,36307,DEINACUT0
D_acutus_20562932,Deinagkistrodon acutus,36307,DEINACUT0
D_acutus_5360902,Deinagkistrodon acutus,36307,DEINACUT0
D_acutus_7340953,Deinagkistrodon acutus,36307,DEINACUT0
D_acutus_5802902,Deinagkistrodon acutus,36307,DEINACUT0
D_vestigiata_118151717,Demansia vestigiata,412038,DEMAVEST0
D_vestigiata_118151719,Demansia vestigiata,412038,DEMAVEST0
D_vestigiata_118151729,Demansia vestigiata,412038,DEMAVEST0
D_vestigiata_118151731,Demansia vestigiata,412038,DEMAVEST0
D_vestigiata_118151733,Demansia vestigiata,412038,DEMAVEST0
D_typus_156485225,Dispholidus typus,46295,DISPTYPU0
D_typus_156485813,Dispholidus typus,46295,DISPTYPU0
D_typus_156485239,Dispholidus typus,46295,DISPTYPU0
D_typus_156485243,Dispholidus typus,46295,DISPTYPU0
D_typus_73346335,Dispholidus typus,46295,DISPTYPU0
D_typus_73346093,Dispholidus typus,46295,DISPTYPU0
D_typus_73346201,Dispholidus typus,46295,DISPTYPU0
D_coronoides_238928309,Drysdalia coronoides,66186,DRYSCORO0
D_coronoides_336042225,Drysdalia coronoides,66186,DRYSCORO0
E_car_sochureki,Echis carinatus,40353,ECHICARI0
E_ocellatus_205275158,Echis ocellatus,99586,ECHIOCEL0
E_ocellatus_83523629,Echis ocellatus,99586,ECHIOCEL0
E_ocellatus_83523641,Echis ocellatus,99586,ECHIOCEL0
E_ocellatus_83523627,Echis ocellatus,99586,ECHIOCEL0
